Nome;Telefone_E164;Telefone_Formatado;DDD;Lead_Quente;Conversa_Direta_1a1;Msgs_Trocadas;Msgs_Enviadas_Loja;Msgs_Recebidas_Cliente;Ultima_Conversa;Salvo_Na_Agenda;Segmento;Nicho_TI;Nome_Agenda;Nome_Perfil_WhatsApp
"Lucas Marketing";"5511988878552";"(11) 98887-8552";"11";"Sim";"Sim";1720;1016;704;"2026-06-06";"Sim";"Empresa / B2B";"Agências, Mídia, Gráficas & Tecnologia";"Lucas Marketing";""
"FAF CELL PEÇAS - DISTRIBUIDORA";"5511989575973";"(11) 98957-5973";"11";"Sim";"Sim";899;452;447;"2026-09-24";"Sim";"Empresa / B2B";"Agências, Mídia, Gráficas & Tecnologia";"FAF CELL PEÇAS - DISTRIBUIDORA";"Fafy Cell"
"Auto escola Elite";"5511972751413";"(11) 97275-1413";"11";"Sim";"Sim";410;217;193;"2026-05-10";"Não";"Empresa / B2B";"Automotivo, Construção, Indústria & Logística";"Auto escola Elite";""
"Bruno Barber";"5511974431918";"(11) 97443-1918";"11";"Sim";"Sim";279;162;117;"2026-06-15";"Sim";"Empresa / B2B";"Educação, Beleza, Fitness & Eventos";"Bruno Barber";""
"Clinica Bragança Whats";"5511963347334";"(11) 96334-7334";"11";"Sim";"Sim";163;92;71;"2026-06-13";"Sim";"Empresa / B2B";"Saúde, Clínicas & Consultórios";"Clinica Bragança Whats";""
"Farmácia Vita Pharma";"5511964706638";"(11) 96470-6638";"11";"Sim";"Sim";143;71;72;"2026-08-11";"Não";"Empresa / B2B";"Saúde, Clínicas & Consultórios";"Farmácia Vita Pharma";""
"Yara Vona Oderço Distribuidora";"554421011396";"(44) 2101-1396";"44";"Sim";"Sim";117;31;86;"2026-09-24";"Não";"Empresa / B2B";"Automotivo, Construção, Indústria & Logística";"Yara Vona Oderço Distribuidora";""
"matsumoto vidros";"5511944658269";"(11) 94465-8269";"11";"Sim";"Sim";85;53;32;"2026-09-24";"Sim";"Empresa / B2B";"Automotivo, Construção, Indústria & Logística";"matsumoto vidros";""
"Aquarela Loja";"5511975527616";"(11) 97552-7616";"11";"Sim";"Sim";69;45;24;"2026-08-25";"Não";"Empresa / B2B";"Comércio, Lojas & Gastronomia";"Aquarela Loja";""
"Autoescola Líder";"5511955553659";"(11) 95555-3659";"11";"Sim";"Sim";43;20;23;"2026-04-15";"Não";"Empresa / B2B";"Automotivo, Construção, Indústria & Logística";"Autoescola Líder";""
"Lucca vidros";"5511914853815";"(11) 91485-3815";"11";"Sim";"Sim";40;26;14;"2026-07-23";"Não";"Empresa / B2B";"Automotivo, Construção, Indústria & Logística";"Lucca vidros";""
"Conbrazil Comercial";"551941035600";"(19) 4103-5600";"19";"Sim";"Sim";34;11;23;"2026-08-14";"Não";"Empresa / B2B";"Comércio, Lojas & Gastronomia";"Conbrazil Comercial";""
"Moisés França Vértice imóveis";"5511956962795";"(11) 95696-2795";"11";"Sim";"Sim";30;23;7;"2026-08-19";"Não";"Empresa / B2B";"Escritórios, Jurídico, Imobiliárias & Gestão";"Moisés França Vértice imóveis";""
"Alex Leme o seu corretor de imóveis";"5511997966182";"(11) 99796-6182";"11";"Sim";"Sim";24;18;6;"2026-09-24";"Não";"Empresa / B2B";"Escritórios, Jurídico, Imobiliárias & Gestão";"Alex Leme o seu corretor de imóveis";""
"iSolution";"5511995864317";"(11) 99586-4317";"11";"Sim";"Sim";23;16;7;"2026-05-27";"Não";"Empresa / B2B";"Agências, Mídia, Gráficas & Tecnologia";"iSolution";""
"Andresa Moraes - Consultora Comercial";"554421011443";"(44) 2101-1443";"44";"Sim";"Sim";20;9;11;"2026-09-25";"Não";"Empresa / B2B";"Comércio, Lojas & Gastronomia";"Andresa Moraes - Consultora Comercial";""
"PEC Projeto Especialista em Capacitação";"5511962706799";"(11) 96270-6799";"11";"Sim";"Sim";16;5;11;"2026-05-27";"Não";"Empresa / B2B";"Educação, Beleza, Fitness & Eventos";"PEC Projeto Especialista em Capacitação";""
"JRS Reformas e Construções";"5511917676399";"(11) 91767-6399";"11";"Sim";"Sim";14;8;6;"2026-09-24";"Não";"Empresa / B2B";"Automotivo, Construção, Indústria & Logística";"JRS Reformas e Construções";""
"Constru Arte";"5511912879803";"(11) 91287-9803";"11";"Sim";"Sim";13;8;5;"2026-07-31";"Não";"Empresa / B2B";"Automotivo, Construção, Indústria & Logística";"Constru Arte";""
"Paula - Bragança Embalagens";"5511930309655";"(11) 93030-9655";"11";"Sim";"Sim";10;5;5;"2026-07-15";"Não";"Empresa / B2B";"Comércio, Lojas & Gastronomia";"Paula - Bragança Embalagens";""
"WYLIE TOOLS";"5511984122111";"(11) 98412-2111";"11";"Sim";"Sim";9;6;3;"2026-07-15";"Não";"Empresa / B2B";"Automotivo, Construção, Indústria & Logística";"WYLIE TOOLS";""
"Mari - Colecta Digital [Atendimento]";"5519999160514";"(19) 99916-0514";"19";"Sim";"Sim";8;6;2;"2026-09-24";"Não";"Empresa / B2B";"Agências, Mídia, Gráficas & Tecnologia";"Mari - Colecta Digital [Atendimento]";""
"Martech | Conectando pessoas a lugares";"5519997600063";"(19) 99760-0063";"19";"Sim";"Sim";8;5;3;"2026-09-24";"Não";"Empresa / B2B";"Agências, Mídia, Gráficas & Tecnologia";"Martech | Conectando pessoas a lugares";""
"Veterinária Bragança";"5511996146378";"(11) 99614-6378";"11";"Sim";"Sim";8;7;1;"2026-06-15";"Não";"Empresa / B2B";"Saúde, Clínicas & Consultórios";"Veterinária Bragança";""
"Ag. Novo Crescimento - Natalia Costa";"5511971222139";"(11) 97122-2139";"11";"Sim";"Sim";7;3;4;"2026-06-05";"Não";"Empresa / B2B";"Agências, Mídia, Gráficas & Tecnologia";"Ag. Novo Crescimento - Natalia Costa";""
"Ea Mídia Digital";"5519996551961";"(19) 99655-1961";"19";"Sim";"Sim";6;4;2;"2026-06-05";"Não";"Empresa / B2B";"Agências, Mídia, Gráficas & Tecnologia";"Ea Mídia Digital";""
"EDM MIDIA";"5519993412295";"(19) 99341-2295";"19";"Sim";"Sim";6;5;1;"2026-09-24";"Não";"Empresa / B2B";"Agências, Mídia, Gráficas & Tecnologia";"EDM MIDIA";""
"Telcabos - Suporte Comercial";"5511916220819";"(11) 91622-0819";"11";"Sim";"Sim";6;4;2;"2026-09-24";"Não";"Empresa / B2B";"Agências, Mídia, Gráficas & Tecnologia";"Telcabos - Suporte Comercial";""
"Tuchê Digital";"5511984587367";"(11) 98458-7367";"11";"Sim";"Sim";6;4;2;"2026-09-25";"Não";"Empresa / B2B";"Agências, Mídia, Gráficas & Tecnologia";"Tuchê Digital";""
"V2BMKT | Soluções em Marketing";"5511921884828";"(11) 92188-4828";"11";"Sim";"Sim";5;4;1;"2026-06-05";"Não";"Empresa / B2B";"Agências, Mídia, Gráficas & Tecnologia";"V2BMKT | Soluções em Marketing";""
"Conserta Smart Bragança Pta";"5511960578014";"(11) 96057-8014";"11";"Sim";"Sim";4;2;2;"2026-03-27";"Não";"Empresa / B2B";"Agências, Mídia, Gráficas & Tecnologia";"Conserta Smart Bragança Pta";""
"Destro Digital";"5511971088660";"(11) 97108-8660";"11";"Sim";"Sim";4;2;2;"2026-06-05";"Não";"Empresa / B2B";"Agências, Mídia, Gráficas & Tecnologia";"Destro Digital";""
"Emera | Marketing e Assessoria";"5511913631009";"(11) 91363-1009";"11";"Sim";"Sim";4;3;1;"2026-06-05";"Não";"Empresa / B2B";"Escritórios, Jurídico, Imobiliárias & Gestão";"Emera | Marketing e Assessoria";""
"Karina Carandina - Editora";"5511987333532";"(11) 98733-3532";"11";"Sim";"Sim";4;3;1;"2026-06-05";"Não";"Empresa / B2B";"Agências, Mídia, Gráficas & Tecnologia";"Karina Carandina - Editora";""
"Nicho Digital";"5519971595254";"(19) 97159-5254";"19";"Sim";"Sim";4;3;1;"2026-06-05";"Não";"Empresa / B2B";"Agências, Mídia, Gráficas & Tecnologia";"Nicho Digital";""
"Publicidade Campinas";"5519984155832";"(19) 98415-5832";"19";"Sim";"Sim";4;2;2;"2026-06-05";"Não";"Empresa / B2B";"Agências, Mídia, Gráficas & Tecnologia";"Publicidade Campinas";""
"Farnesi Digital";"5519998804763";"(19) 99880-4763";"19";"Sim";"Sim";3;2;1;"2026-06-05";"Não";"Empresa / B2B";"Agências, Mídia, Gráficas & Tecnologia";"Farnesi Digital";""
"Agência de Marketing Digital";"5519994041785";"(19) 99404-1785";"19";"Sim";"Sim";2;2;0;"2026-06-05";"Não";"Empresa / B2B";"Agências, Mídia, Gráficas & Tecnologia";"Agência de Marketing Digital";""
"Alfa | Safra Financeira";"551126509900";"(11) 2650-9900";"11";"Sim";"Sim";2;1;1;"2026-04-07";"Não";"Empresa / B2B";"Escritórios, Jurídico, Imobiliárias & Gestão";"Alfa | Safra Financeira";""
"Aygo Digital | Matheus Okazaki";"5519998983432";"(19) 99898-3432";"19";"Sim";"Sim";2;2;0;"2026-06-05";"Não";"Empresa / B2B";"Agências, Mídia, Gráficas & Tecnologia";"Aygo Digital | Matheus Okazaki";""
"Beatriz Agenzzia";"5519984504160";"(19) 98450-4160";"19";"Sim";"Sim";2;2;0;"2026-06-05";"Não";"Empresa / B2B";"Agências, Mídia, Gráficas & Tecnologia";"Beatriz Agenzzia";""
"Ding Publicidade";"5511975059866";"(11) 97505-9866";"11";"Sim";"Sim";2;2;0;"2026-06-05";"Não";"Empresa / B2B";"Agências, Mídia, Gráficas & Tecnologia";"Ding Publicidade";""
"Lh Content";"5511945943789";"(11) 94594-3789";"11";"Sim";"Sim";2;2;0;"2026-06-05";"Não";"Empresa / B2B";"Agências, Mídia, Gráficas & Tecnologia";"Lh Content";""
"Marketing";"5519993832455";"(19) 99383-2455";"19";"Sim";"Sim";2;2;0;"2026-06-05";"Não";"Empresa / B2B";"Agências, Mídia, Gráficas & Tecnologia";"Marketing";""
"Sampa Digital";"5519988883764";"(19) 98888-3764";"19";"Sim";"Sim";2;1;1;"2026-07-31";"Não";"Empresa / B2B";"Agências, Mídia, Gráficas & Tecnologia";"Sampa Digital";""
"Voe Agência";"5511930636407";"(11) 93063-6407";"11";"Sim";"Sim";2;2;0;"2026-06-05";"Não";"Empresa / B2B";"Agências, Mídia, Gráficas & Tecnologia";"Voe Agência";""
"Matheus Tecnologia da Informação";"554734196431";"(47) 3419-6431";"47";"Sim";"Sim";1;1;0;"2026-05-04";"Não";"Empresa / B2B";"Agências, Mídia, Gráficas & Tecnologia";"Matheus Tecnologia da Informação";""
"ALBINOS SOBRANCELHAS";"5511944840745";"(11) 94484-0745";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Educação, Beleza, Fitness & Eventos";"ALBINOS SOBRANCELHAS";""
"Alex vidro";"5511971131976";"(11) 97113-1976";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Automotivo, Construção, Indústria & Logística";"Alex vidro";""
"Ambulatório BRG";"5511989916300";"(11) 98991-6300";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Saúde, Clínicas & Consultórios";"Ambulatório BRG";""
"Anninha Moda Feminina";"5511986934266";"(11) 98693-4266";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Comércio, Lojas & Gastronomia";"Anninha Moda Feminina";""
"Aquino Móveis";"5511963089477";"(11) 96308-9477";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Comércio, Lojas & Gastronomia";"Aquino Móveis";""
"Beto Pizzas";"5511982448637";"(11) 98244-8637";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Comércio, Lojas & Gastronomia";"Beto Pizzas";""
"Camila Psicóloga";"5511982825148";"(11) 98282-5148";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Saúde, Clínicas & Consultórios";"Camila Psicóloga";""
"Casa Ser Dorinha Psicóloga";"551125557090";"(11) 2555-7090";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Saúde, Clínicas & Consultórios";"Casa Ser Dorinha Psicóloga";""
"Celso Burger vagas";"5511913465126";"(11) 91346-5126";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Comércio, Lojas & Gastronomia";"Celso Burger vagas";""
"Centro Médico Bragantino";"5511966173914";"(11) 96617-3914";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Saúde, Clínicas & Consultórios";"Centro Médico Bragantino";""
"Cléo Escola";"5511954872146";"(11) 95487-2146";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Educação, Beleza, Fitness & Eventos";"Cléo Escola";""
"Clínica Dessico";"5511943042333";"(11) 94304-2333";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Saúde, Clínicas & Consultórios";"Clínica Dessico";""
"CRB Imagem";"551144817600";"(11) 4481-7600";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Saúde, Clínicas & Consultórios";"CRB Imagem";""
"Crisley Nails Studio";"5511972799981";"(11) 97279-9981";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Educação, Beleza, Fitness & Eventos";"Crisley Nails Studio";""
"Dani Dentista";"5511971747024";"(11) 97174-7024";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Saúde, Clínicas & Consultórios";"Dani Dentista";""
"dentista jose francisco";"5511972966525";"(11) 97296-6525";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Saúde, Clínicas & Consultórios";"dentista jose francisco";""
"Depósito Az";"551122822018";"(11) 2282-2018";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Automotivo, Construção, Indústria & Logística";"Depósito Az";""
"Disk Pizza Maskote";"551140338186";"(11) 4033-8186";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Comércio, Lojas & Gastronomia";"Disk Pizza Maskote";""
"Dr Marcia";"5511959002253";"(11) 95900-2253";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Saúde, Clínicas & Consultórios";"Dr Marcia";""
"dreamaker marketing";"5511982959646";"(11) 98295-9646";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Agências, Mídia, Gráficas & Tecnologia";"dreamaker marketing";""
"Drogaria";"5511913198141";"(11) 91319-8141";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Saúde, Clínicas & Consultórios";"Drogaria";""
"Everton Laser";"5511998238465";"(11) 99823-8465";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Educação, Beleza, Fitness & Eventos";"Everton Laser";""
"exclusiva papelaria";"5511974793399";"(11) 97479-3399";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Comércio, Lojas & Gastronomia";"exclusiva papelaria";""
"Fabiana - Adecco Recursos Humanos";"5511945381126";"(11) 94538-1126";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Escritórios, Jurídico, Imobiliárias & Gestão";"Fabiana - Adecco Recursos Humanos";""
"fabio 3d";"5511972241140";"(11) 97224-1140";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Agências, Mídia, Gráficas & Tecnologia";"fabio 3d";""
"Fadinha Kids";"5511945624918";"(11) 94562-4918";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Comércio, Lojas & Gastronomia";"Fadinha Kids";""
"Farol do Bolo";"5511988134182";"(11) 98813-4182";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Comércio, Lojas & Gastronomia";"Farol do Bolo";""
"Fatima Sindica";"5511962309950";"(11) 96230-9950";"11";"Sim";"Não";0;0;0;"";"Sim";"Empresa / B2B";"Escritórios, Jurídico, Imobiliárias & Gestão";"Fatima Sindica";""
